,Indirizzo,html 1,text 1
1,https://lookeronline.com/products/david-beckham-db-7065-f-s-2f7-db-7065-f-s-gold-grey-blue,"<a href=""/"">LookerOnline</a>     >                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 7065/F/S 2F7/KU",   LookerOnline    >                                                                                                       David Beckham Sunglasses           >            David Beckham 7065/F/S 2F7/KU  
5,https://lookeronline.com/products/david-beckham-7099-s-asa-9o,"<a href=""/"">LookerOnline</a>     >                                                                         <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 7099/S ASA/9O",   LookerOnline    >                                                                                               David Beckham Sunglasses           >            David Beckham 7099/S ASA/9O  
12,https://lookeronline.com/products/david-beckham-1111-s-b4l-ir,"<a href=""/"">LookerOnline</a>     >                                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 1111/S B4L/IR",   LookerOnline    >                                                                                                                       David Beckham Sunglasses           >            David Beckham 1111/S B4L/IR  
43,https://lookeronline.com/products/david-beckham-db-7000-s-i62-db-7000-s-black-havana-blue-mirror,"<a href=""/"">LookerOnline</a>     >                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 7000/S I62/MT",   LookerOnline    >                                                                                                       David Beckham Sunglasses           >            David Beckham 7000/S I62/MT  
44,https://lookeronline.com/products/david-beckham-db-1041-s-kj1-dark-ruthenium-m9-grey-polarized,"<a href=""/"">LookerOnline</a>     >                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 1041/S KJ1/M9",   LookerOnline    >                                                                                                       David Beckham Sunglasses           >            David Beckham 1041/S KJ1/M9  
52,https://lookeronline.com/products/david-beckham-db-1092-s-086-db-1092-s-havana-qt-green,"<a href=""/"">LookerOnline</a>     >                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 1092/S 086/QT",   LookerOnline    >                                                                                                       David Beckham Sunglasses           >            David Beckham 1092/S 086/QT  
58,https://lookeronline.com/products/david-beckham-db-7041-s-086-db-7041-s-dark-havana-grey,"<a href=""/"">LookerOnline</a>     >                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 7041/S 086/IR",   LookerOnline    >                                                                                                       David Beckham Sunglasses           >            David Beckham 7041/S 086/IR  
64,https://lookeronline.com/products/david-beckham-7102-s-85k-m9,"<a href=""/"">LookerOnline</a>     >                                                                         <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 7102/S 85K/M9",   LookerOnline    >                                                                                               David Beckham Sunglasses           >            David Beckham 7102/S 85K/M9  
73,https://lookeronline.com/products/david-beckham-db-1007-s-79u-db-1007-s-mud-green,"<a href=""/"">LookerOnline</a>     >                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 1007/S 79U/QT",   LookerOnline    >                                                                                                       David Beckham Sunglasses           >            David Beckham 1007/S 79U/QT  
86,https://lookeronline.com/products/david-beckham-1121-g-s-rhl-ir,"<a href=""/"">LookerOnline</a>     >                                                                                                         <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 1121/G/S RHL/IR",   LookerOnline    >                                                                                                                               David Beckham Sunglasses           >            David Beckham 1121/G/S RHL/IR  
91,https://lookeronline.com/products/david-beckham-7101-s-2m2-ha,"<a href=""/"">LookerOnline</a>     >                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 7101/S 2M2/HA",   LookerOnline    >                                                                                                       David Beckham Sunglasses           >            David Beckham 7101/S 2M2/HA  
93,https://lookeronline.com/products/david-beckham-db-7091-s-7c5-black-crystal-3o,"<a href=""/"">LookerOnline</a>     >                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 7091/S 7C5/3O",   LookerOnline    >                                                                                                       David Beckham Sunglasses           >            David Beckham 7091/S 7C5/3O  
95,https://lookeronline.com/products/david-beckham-db-1045-s-bsc-db-1045-s-black-silver-grey-polarized,"<a href=""/"">LookerOnline</a>     >                                                                                                                 <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 1045/S BSC/M9",   LookerOnline    >                                                                                                                                       David Beckham Sunglasses           >            David Beckham 1045/S BSC/M9  
103,https://lookeronline.com/products/david-beckham-1097-s-0nz-matte-gold-black-ir,"<a href=""/"">LookerOnline</a>     >                                                                                                         <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
        >   -->                       <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>            >              David Beckham 1097/S 0NZ/IR",   LookerOnline    >                                                                                                                               David Beckham Sunglasses           >            David Beckham 1097/S 0NZ/IR  
